Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
intermissionA_1cbe0ee1	ck	Finalmente ti vedo per ciò che sei capelli blu...	game/scripts/intermission.rpy	14	ck "[what]"
intermissionA_699c26e9	ck	Ho sempre sospettato che celasse una seconda faccia.	game/scripts/intermission.rpy	16	ck "[what]"
intermissionA_6264af9b	ck	Se solo potessi seguirla e scoprire cosa sa.	game/scripts/intermission.rpy	19	ck "[what]"
intermissionA_c2578b04	ck	Ah, ci sei anche tu, Berngas... Berknas... kas.	game/scripts/intermission.rpy	28	ck "[what]"
intermissionA_5bc33a9c	bk	Bernkastel.	game/scripts/intermission.rpy	30	bk "[what]"
intermissionA_02ee77c2	ck	Si esatto, quello.	game/scripts/intermission.rpy	32	ck "[what]"
intermissionA_718dc0e9	ck	Iniziavo a pensare che ti fossi persa nei frammenti.	game/scripts/intermission.rpy	34	ck "[what]"
intermissionA_8f60a99b	bk	Che i nostri percorsi in questo frammento si sono incrociati è di per sè al quanto sconcertante.	game/scripts/intermission.rpy	36	bk "[what]"
intermissionA_107e8dfb	bk	Per nor parlare di ciò che stiamo vedendo.	game/scripts/intermission.rpy	38	bk "[what]"
intermissionA_43f6e107	ck	Già, la bambina è davvero inquietante...	game/scripts/intermission.rpy	41	ck "[what]"
intermissionA_1f426533	ck	Eppure nella sua inquietosità sembrava quasi preoccupata per Akasaka.	game/scripts/intermission.rpy	43	ck "[what]"
intermissionA_3f01b7cf	bk	Non è Rika che mi perplime. {w}Ti sarai sicuramente reso conto che la tua finestra sul frammento non è più Check, ma Akasaka Mamoru.	game/scripts/intermission.rpy	45	bk "[what]"
intermissionA_2d228dd1	ck	Ah davvero? Non me ne ero accorto. Ehahaha.	game/scripts/intermission.rpy	48	ck "[what]"
intermissionA_cb985f23	bk	Risparmiami il tono sarcastico, di grazia.	game/scripts/intermission.rpy	51	bk "[what]"
intermissionA_1ccc3ce6	ck	Più o meno ho un idea di quello che è successo, ma è difficile da spiegare...	game/scripts/intermission.rpy	54	ck "[what]"
intermissionA_23fc9cd4	ck	Ma non per questo non ci proverò!	game/scripts/intermission.rpy	56	ck "[what]"
intermissionA_17b3c42d	n	Come ho già fatto più volte, sono entrato nel frammento mentre visualizzavo Hinamizawa. {w}Questa volta l'ho fatto con cognizione di causa, quindi ricordo ogni dettaglio.	game/scripts/intermission.rpy	78	n "[what]"
intermissionA_06be1142	n	All'inizio era come se fossi diventato uno spettro incorporeo.	game/scripts/intermission.rpy	80	n "[what]"
intermissionA_3793a342	bk	È una normale parte del procedimento. {w}Succede quando la tua coscienza esterna si deve ancora sintonizzare con il corpo che le appartiene.	game/scripts/intermission.rpy	82	bk "[what]"
intermissionA_02663e32	n	Esattamente, ed è quello il problema.	game/scripts/intermission.rpy	85	n "[what]"
intermissionA_229344f5	n	Difatti, da li a breve ho sentito una forza che mi attirava da tutt'altra parte.	game/scripts/intermission.rpy	90	n "[what]"
intermissionA_f1f96bd9	n	Solo in quel momento ho realizzato il mio errore!	game/scripts/intermission.rpy	92	n "[what]"
intermissionA_667997b7	n	Cinque anni fa, il Check di questo frammento era altrove, occupato a fondare il BKG...	game/scripts/intermission.rpy	94	n "[what]"
intermissionA_0fd7b23d	n	L'attrazione si faceva sempre più forte.	game/scripts/intermission.rpy	98	n "[what]"
intermissionA_e0b2fbac	n	Per non essere risucchiato via ho tentato di aggrapparmi a qualcosa, QUALSIASI cosa! {w}Ma alberi ed edifici non offrivano la minima resistenza! ...Non avevo scampo!	game/scripts/intermission.rpy	100	n "[what]"
intermissionA_b2f0c2f1	n	Vedendo che gli oggetti fissi non avrebbero frenato la mia deriva ho provato ad aggrapparmi alle persone...	game/scripts/intermission.rpy	123	n "[what]"
intermissionA_af2736de	n	E stranamente ho notato che, sebbene a stento, riuscivo a trattenermi.	game/scripts/intermission.rpy	125	n "[what]"
intermissionA_933d7d5f	n	Ero vicino alla centrale di polizia, quando ho sentito una seconda forza attrattiva.	game/scripts/intermission.rpy	134	n "[what]"
intermissionA_1de6d063	n	Questa volta proveniva da un'automobile!	game/scripts/intermission.rpy	136	n "[what]"
intermissionA_1224ba05	n	Grazie ai miei fulminei riflessi, sapevo che quella era la mia sola opportunità.	game/scripts/intermission.rpy	138	n "[what]"
intermissionA_e4f61798	n	Con tutta la mia grinta mi sono lanciato verso di essa...	game/scripts/intermission.rpy	140	n "[what]"
intermissionA_cc4c703e	n	E poi bam! Per qualche misterioso motivo, in un batter d'occhi, mi ero sincronizzato con questo Akasaka.	game/scripts/intermission.rpy	147	n "[what]"
intermissionA_bd9ae242	n	Ed ecco come sono arrivato quì.	game/scripts/intermission.rpy	157	n "[what]"
intermissionA_0add2b8f	bk	Recidere il proprio legame corporeo con il frammento e crearne uno nuovo... sei veramente riuscito a fare una cosa del genere?	game/scripts/intermission.rpy	160	bk "[what]"
intermissionA_9606eff9	bk	Hai già provato ad assumere la prospettiva di altre persone?	game/scripts/intermission.rpy	162	bk "[what]"
intermissionA_4308d6f0	ck	Ma certo che ho provato!	game/scripts/intermission.rpy	164	ck "[what]"
intermissionA_8868fcbd	ck	Però niente da fare, le coscienze degli altri sono troppo... come dire... scivolose.	game/scripts/intermission.rpy	167	ck "[what]"
intermissionA_1408e0ba	ck	È un peccato, avrei voluto sapere cosa passa per la testa di Ooishi, tanto per dirne una.	game/scripts/intermission.rpy	169	ck "[what]"
intermissionA_15009593	bk	... Perchè tra tutti proprio Akasaka?...	game/scripts/intermission.rpy	171	bk "[what]"
intermissionA_b03710ba	ck	Sarà che il novellino mi somiglia.	game/scripts/intermission.rpy	175	ck "[what]"
intermissionA_60ade215	ck	Non fraintendere{w}, è chiaro da come si sta comportando che non era minimamente pronto a una missione come questa.	game/scripts/intermission.rpy	177	ck "[what]"
intermissionA_230409b4	ck	È un idealista, e ha abbassato la guardia troppe volte. Ma questi sono sintomi della gioventù.	game/scripts/intermission.rpy	179	ck "[what]"
intermissionA_401f1690	ck	Mi ricorda me stesso quando ero alle prime armi. {w}Un lavoro pericoloso dopo l'altro, e la scampavo sempre per il rotto della cuffia.	game/scripts/intermission.rpy	181	ck "[what]"
intermissionA_4e877456	ck	È lo stesso tipo di potenziale che percepisco in Larry.	game/scripts/intermission.rpy	186	ck "[what]"
intermissionA_c2cc9350	ck	Uno come lui dovrebbe entrare nel BKG, gli potremmo offrire l'esperienza che gli manca per diventare competente.	game/scripts/intermission.rpy	188	ck "[what]"
intermissionA_a64adc9d	bk	Mhhh.	game/scripts/intermission.rpy	191	bk "[what]"
intermissionA_8da690ba	bk	È certamente una teoria possibile, ma possono davvero succedere coincidenze così grandi?	game/scripts/intermission.rpy	194	bk "[what]"
intermissionA_9c79df74	bk	Che sia la mia presenza ad avere influito? {w}O forse è in gioco una proprietà di questo frammento. {w}Oppure ancora...	game/scripts/intermission.rpy	196	bk "[what]"
intermissionA_da249090	ck	Beh, come al solito i come e i perchè li lascio decifrare a te Bertaskel.	game/scripts/intermission.rpy	198	ck "[what]"
intermissionA_02681c53	bk	Bernkastel...	game/scripts/intermission.rpy	200	bk "[what]"
intermissionA_dc1fb8a3	ck	Si appunto, che ho detto?	game/scripts/intermission.rpy	202	ck "[what]"
intermissionA_b4219d90	ck	Non saprò come funziona, ma di sicuro è conveniente. {w}Ora posso assistere a questa storia pur non essendoci fisicamente. {w}In barba alle regole di chissà chi!	game/scripts/intermission.rpy	204	ck "[what]"
intermissionA_867870e3	ck	Se esisteva una scappatoia come questa me lo potevi anche dire prima.	game/scripts/intermission.rpy	206	ck "[what]"
intermissionA_37189fd7	bk	Semplicemente non ne ero al corrente. {w}Questo cambio di prospettiva non è un'abilità di cui io dispongo.	game/scripts/intermission.rpy	208	bk "[what]"
intermissionA_13b02a73	bk	Inizio a capire sempre di più perchè la tua presenza ha agitato il nostro avversario.	game/scripts/intermission.rpy	210	bk "[what]"
intermissionA_5f952001	bk	Se tu imparassi a padroneggiarla diventerebbe un'arma potente. Capace perfino di aggirare la prima delle regole in giallo.	game/scripts/intermission.rpy	212	bk "[what]"
intermissionA_9d648904	ck	Un'abilità speciale tutta mia, eh?	game/scripts/intermission.rpy	214	ck "[what]"
intermissionA_4d53769e	ck	Allora devo proprio pensare un nome ad effetto.	game/scripts/intermission.rpy	217	ck "[what]"
intermissionA_720fe5d6	bk	Questo frammento per me non ha alcun valore, ma non è detto che sia lo stesso per te.	game/scripts/intermission.rpy	220	bk "[what]"
intermissionA_d3e2475b	bk	Usalo per prendere dimestichezza con questa tua escursione mentale e torna indietro quando sarai annoiato.	game/scripts/intermission.rpy	222	bk "[what]"
intermissionA_ccd81247	ck	Ricevuto Bern.	game/scripts/intermission.rpy	224	ck "[what]"
intermissionA_99955834	bk	...	game/scripts/intermission.rpy	226	bk "[what]"
intermissionA_4cd8706f	ck	Posso chiamarti Bern vero?	game/scripts/intermission.rpy	228	ck "[what]"
intermissionA_2ce42719	bk	Se così non sentirò più la tua cattiva pronuncia, ti permetto di chiamarmi Bern.	game/scripts/intermission.rpy	230	bk "[what]"
intermissionA_ede221d1	ck	Affare fatto.	game/scripts/intermission.rpy	232	ck "[what]"
intermissionA_1a238654	n	Con un inchino cortese, Bern scompare da questo mondo.	game/scripts/intermission.rpy	240	n "[what]"
intermissionA_f6106c7c	ck	Certo che sono due gocce d'acqua quelle due.	game/scripts/intermission.rpy	243	ck "[what]"
intermissionA_ae8e3551	ck	Beh, anche se la interrogassi non mi potrebbe rispondere, e per adesso ho deciso di fidarmi di lei.	game/scripts/intermission.rpy	246	ck "[what]"
intermissionA_589c2d59	ck	Bene Akasaka, ora viene la parte difficile, vediamo come te la cavi.	game/scripts/intermission.rpy	248	ck "[what]"
intermissionB_e31bf370	ck	Oh ma che bullshit something something	game/scripts/intermission.rpy	267	ck "[what]"
intermissionB_8cb8e9a7	bk	Pensi che le cose stiano davvero così? Io non posso dirti niente ma guarda da te.	game/scripts/intermission.rpy	269	bk "[what]"
intermissionB_7877f275		Ahime vive in un mondo in cui il destino non le permette questa semplice preghiera.	game/scripts/intermission.rpy	271	"[what]"
intermissionB_c2578b04	ck	Ah, ci sei anche tu, Berngas... Berknas... kas.	game/scripts/intermission.rpy	273	ck "[what]"
intermissionB_5bc33a9c	bk	Bernkastel.	game/scripts/intermission.rpy	274	bk "[what]"
intermissionB_02ee77c2	ck	Si esatto, quello.	game/scripts/intermission.rpy	276	ck "[what]"
intermissionB_fa02a6c7	bk	Tralasciando la tua guerra contro le parole... {w} Questo risvolto non me lo spiego.	game/scripts/intermission.rpy	278	bk "[what]"
intermissionB_8b232850	ck	Che succede con capelli blu? Perchè conosce il futuro e perchè è così CREEPY?!	game/scripts/intermission.rpy	281	ck "[what]"
intermissionB_5da28b6e	bk	Hai già dimenticato la nostra situazione? {w}Le regole in giallo mi impediscono di rispondere a domande del genere.	game/scripts/intermission.rpy	283	bk "[what]"
intermissionB_e784414b	bk	Non rivolgerti a me, osserva i fatti.	game/scripts/intermission.rpy	285	bk "[what]"
intermissionB_dcfc2090		'rika I want to live'	game/scripts/intermission.rpy	288	"[what]"
intermissionB_dcfc2090_1		'rika I want to live'	game/scripts/intermission.rpy	290	"[what]"
intermissionB_720aae5e	bk	Ciò che Furude Rika sa;{w} ciò che vuole ottenere. {w}Non è forse palese?	game/scripts/intermission.rpy	291	bk "[what]"
intermissionB_3eea131a	bk	Ciò che Akasaka Mamoru ha fatto;{w} ciò che non farà mai. {w}Anche questo diventerà palese a breve.	game/scripts/intermission.rpy	293	bk "[what]"
intermissionB_de55bd7a	ck	Mi sembra in tutto e per tutto una richiesta di aiuto. {w}Ma perchè proprio a lui? E perchè così criptica?	game/scripts/intermission.rpy	295	ck "[what]"
intermissionB_ee47c2b6	ck	E anche tu Akasaka, è chiaro che sa! Perchè non la interroghi?	game/scripts/intermission.rpy	297	ck "[what]"
